KPI_Code,KPI_Description,KPI_Note,KPI_Order,UNIT_Code,KPI_Compound,KPI_Ext,KPI_Visible,CreatedAt,ModifiedAt,KPI_Name,KPI_Ext_Source,KPI_Ext_Name,CreatedBy,ModifiedBy
KPI_Climate_D_M_age_0_5,People reached with activities to address rising climate risks - Direct - Male - Age 0 to 5,,33002,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.023,2022-03-10T12:03:38.023,People reached with activities to address rising climate risks - Direct - Male - Age 0 to 5,,,system,system
KPI_Climate_D_M_age_13_17,People reached with activities to address rising climate risks - Direct - Male - Age 13 to 17,,33004,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.03,2022-03-10T12:03:38.03,People reached with activities to address rising climate risks - Direct - Male - Age 13 to 17,,,system,system
KPI_Climate_D_M_age_18_29,People reached with activities to address rising climate risks - Direct - Male - Age 18 to 29,,33005,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.033,2022-03-10T12:03:38.033,People reached with activities to address rising climate risks - Direct - Male - Age 18 to 29,,,system,system
KPI_Climate_D_M_age_18_49,People reached with activities to address rising climate risks - Direct - Male - Age 18 to 49,,33006,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.033,2022-03-10T12:03:38.033,People reached with activities to address rising climate risks - Direct - Male - Age 18 to 49,,,system,system
KPI_Climate_D_M_age_30_39,People reached with activities to address rising climate risks - Direct - Male - Age 30 to 39,,33007,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.037,2022-03-10T12:03:38.037,People reached with activities to address rising climate risks - Direct - Male - Age 30 to 39,,,system,system
KPI_Climate_D_M_age_40_49,People reached with activities to address rising climate risks - Direct - Male - Age 40 to 49,,33008,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.037,2022-03-10T12:03:38.037,People reached with activities to address rising climate risks - Direct - Male - Age 40 to 49,,,system,system
KPI_Climate_D_M_age_50_59,People reached with activities to address rising climate risks - Direct - Male - Age 50 to 59,,33009,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.04,2022-03-10T12:03:38.04,People reached with activities to address rising climate risks - Direct - Male - Age 50 to 59,,,system,system
KPI_Climate_D_M_age_6_12,People reached with activities to address rising climate risks - Direct - Male - Age 6 to 12,,33003,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.023,2022-03-10T12:03:38.023,People reached with activities to address rising climate risks - Direct - Male - Age 6 to 12,,,system,system
KPI_Climate_D_M_age_60_69,People reached with activities to address rising climate risks - Direct - Male - Age 60 to 69,,33010,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.027,2022-03-10T12:03:38.027,People reached with activities to address rising climate risks - Direct - Male - Age 60 to 69,,,system,system
KPI_Climate_D_M_age_70_79,People reached with activities to address rising climate risks - Direct - Male - Age 70 to 79,,33011,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.027,2022-03-10T12:03:38.027,People reached with activities to address rising climate risks - Direct - Male - Age 70 to 79,,,system,system
KPI_Climate_D_M_age_80,People reached with activities to address rising climate risks - Direct - Male - Age 80+,,33012,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.03,2022-03-10T12:03:38.03,People reached with activities to address rising climate risks - Direct - Male - Age 80+,,,system,system
KPI_Climate_D_M_age_Other,People reached with activities to address rising climate risks - Direct - Male - Age Unknown / Not provided,,33013,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.03,2022-03-10T12:03:38.03,People reached with activities to address rising climate risks - Direct - Male - Age Unknown / Not provided,,,system,system
KPI_Climate_D_OtherSex_age_0_5,People reached with activities to address rising climate risks - Direct - Third Gender - Age 0 to 5,,33026,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.063,2022-03-10T12:03:38.063,People reached with activities to address rising climate risks - Direct - Third Gender - Age 0 to 5,,,system,system
KPI_Climate_D_OtherSex_age_13_17,People reached with activities to address rising climate risks - Direct - Third Gender - Age 13 to 17,,33028,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.077,2022-03-10T12:03:38.077,People reached with activities to address rising climate risks - Direct - Third Gender - Age 13 to 17,,,system,system
KPI_Climate_D_OtherSex_age_18_29,People reached with activities to address rising climate risks - Direct - Third Gender - Age 18 to 29,,33029,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.077,2022-03-10T12:03:38.077,People reached with activities to address rising climate risks - Direct - Third Gender - Age 18 to 29,,,system,system
KPI_Climate_D_OtherSex_age_18_49,People reached with activities to address rising climate risks - Direct - Third Gender - Age 18 to 49,,33030,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.08,2022-03-10T12:03:38.08,People reached with activities to address rising climate risks - Direct - Third Gender - Age 18 to 49,,,system,system
KPI_Climate_D_OtherSex_age_30_39,People reached with activities to address rising climate risks - Direct - Third Gender - Age 30 to 39,,33031,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.083,2022-03-10T12:03:38.083,People reached with activities to address rising climate risks - Direct - Third Gender - Age 30 to 39,,,system,system
KPI_Climate_D_OtherSex_age_40_49,People reached with activities to address rising climate risks - Direct - Third Gender - Age 40 to 49,,33032,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.083,2022-03-10T12:03:38.083,People reached with activities to address rising climate risks - Direct - Third Gender - Age 40 to 49,,,system,system
KPI_Climate_D_OtherSex_age_50_59,People reached with activities to address rising climate risks - Direct - Third Gender - Age 50 to 59,,33033,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.087,2022-03-10T12:03:38.087,People reached with activities to address rising climate risks - Direct - Third Gender - Age 50 to 59,,,system,system
KPI_Climate_D_OtherSex_age_6_12,People reached with activities to address rising climate risks - Direct - Third Gender - Age 6 to 12,,33027,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.067,2022-03-10T12:03:38.067,People reached with activities to address rising climate risks - Direct - Third Gender - Age 6 to 12,,,system,system
KPI_Climate_D_OtherSex_age_60_69,People reached with activities to address rising climate risks - Direct - Third Gender - Age 60 to 69,,33034,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.07,2022-03-10T12:03:38.07,People reached with activities to address rising climate risks - Direct - Third Gender - Age 60 to 69,,,system,system
KPI_Climate_D_OtherSex_age_70_79,People reached with activities to address rising climate risks - Direct - Third Gender - Age 70 to 79,,33035,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.07,2022-03-10T12:03:38.07,People reached with activities to address rising climate risks - Direct - Third Gender - Age 70 to 79,,,system,system
KPI_Climate_D_OtherSex_age_80,People reached with activities to address rising climate risks - Direct - Third Gender - Age 80+,,33036,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.073,2022-03-10T12:03:38.073,People reached with activities to address rising climate risks - Direct - Third Gender - Age 80+,,,system,system
KPI_Climate_D_OtherSex_age_Other,People reached with activities to address rising climate risks - Direct - Third Gender - Age Unknown / Not provided,,33037,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.073,2022-03-10T12:03:38.073,People reached with activities to address rising climate risks - Direct - Third Gender - Age Unknown / Not provided,,,system,system
KPI_Climate_D_sex,Number of people reached - Activities to address rising climate risks -Disaggregated by sex (1) or not (0),,33001,logical,FALSE,FALSE,TRUE,2022-03-10T12:03:38.02,2022-03-10T12:03:38.02,Number of people reached - Activities to address rising climate risks -Disaggregated by sex (1) or not (0),,,system,system
KPI_Climate_D_Tot,Number of people reached - Activities to address rising climate risks - Direct,NS Reach - Direct,33073,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.117,0001-01-01T00:00:00,Number of people reached - Activities to address rising climate risks - Direct,,,system,
KPI_Climate_D_Tot_age_0_5,People reached with activities to address rising climate risks - Direct - Total - Age 0 to 5,,33050,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.087,2022-03-10T12:03:38.087,People reached with activities to address rising climate risks - Direct - Total - Age 0 to 5,,,system,system
KPI_Climate_D_Tot_age_13_17,People reached with activities to address rising climate risks - Direct - Total - Age 13 to 17,,33052,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.1,2022-03-10T12:03:38.1,People reached with activities to address rising climate risks - Direct - Total - Age 13 to 17,,,system,system
KPI_Climate_D_Tot_age_18_29,People reached with activities to address rising climate risks - Direct - Total - Age 18 to 29,,33053,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.1,2022-03-10T12:03:38.1,People reached with activities to address rising climate risks - Direct - Total - Age 18 to 29,,,system,system
KPI_Climate_D_Tot_age_18_49,People reached with activities to address rising climate risks - Direct - Total - Age 18 to 49,,33054,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.107,2022-03-10T12:03:38.107,People reached with activities to address rising climate risks - Direct - Total - Age 18 to 49,,,system,system
KPI_Climate_D_Tot_age_30_39,People reached with activities to address rising climate risks - Direct - Total - Age 30 to 39,,33055,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.107,2022-03-10T12:03:38.107,People reached with activities to address rising climate risks - Direct - Total - Age 30 to 39,,,system,system
KPI_Climate_D_Tot_age_40_49,People reached with activities to address rising climate risks - Direct - Total - Age 40 to 49,,33056,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.11,2022-03-10T12:03:38.11,People reached with activities to address rising climate risks - Direct - Total - Age 40 to 49,,,system,system
KPI_Climate_D_Tot_age_50_59,People reached with activities to address rising climate risks - Direct - Total - Age 50 to 59,,33057,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.11,2022-03-10T12:03:38.11,People reached with activities to address rising climate risks - Direct - Total - Age 50 to 59,,,system,system
KPI_Climate_D_Tot_age_6_12,People reached with activities to address rising climate risks - Direct - Total - Age 6 to 12,,33051,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.09,2022-03-10T12:03:38.09,People reached with activities to address rising climate risks - Direct - Total - Age 6 to 12,,,system,system
KPI_Climate_D_Tot_age_60_69,People reached with activities to address rising climate risks - Direct - Total - Age 60 to 69,,33058,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.09,2022-03-10T12:03:38.09,People reached with activities to address rising climate risks - Direct - Total - Age 60 to 69,,,system,system
KPI_Climate_D_Tot_age_70_79,People reached with activities to address rising climate risks - Direct - Total - Age 70 to 79,,33059,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.093,2022-03-10T12:03:38.093,People reached with activities to address rising climate risks - Direct - Total - Age 70 to 79,,,system,system
KPI_Climate_D_Tot_age_80,People reached with activities to address rising climate risks - Direct - Total - Age 80+,,33060,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.097,2022-03-10T12:03:38.097,People reached with activities to address rising climate risks - Direct - Total - Age 80+,,,system,system
KPI_Climate_D_Tot_age_Other,People reached with activities to address rising climate risks - Direct - Total - Age Unknown / Not provided,,33061,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.097,2022-03-10T12:03:38.097,People reached with activities to address rising climate risks - Direct - Total - Age Unknown / Not provided,,,system,system
KPI_Climate_D_Tot_F,People reached with activities to address rising climate risks - Direct - Total Female,,33063,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.117,2022-03-10T12:03:38.117,People reached with activities to address rising climate risks - Direct - Total Female,,,system,system
KPI_Climate_D_Tot_M,People reached with activities to address rising climate risks - Direct - Total Male,,33062,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.11,2022-03-10T12:03:38.11,People reached with activities to address rising climate risks - Direct - Total Male,,,system,system
KPI_Climate_D_Tot_OtherSex,People reached with activities to address rising climate risks - Direct - Total Third Gender,,33064,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.113,2022-03-10T12:03:38.113,People reached with activities to address rising climate risks - Direct - Total Third Gender,,,system,system
KPI_Climate_D_Tot_UnknownSex,People reached with activities to address rising climate risks - Direct - Total Gender Unknown / not provided,,33065,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.113,2022-03-10T12:03:38.113,People reached with activities to address rising climate risks - Direct - Total Gender Unknown / not provided,,,system,system
KPI_Climate_D_UnknownSex_age_0_5,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 0 to 5,,33038,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.063,2022-03-10T12:03:38.063,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 0 to 5,,,system,system
KPI_Climate_D_UnknownSex_age_13_17,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 13 to 17,,33040,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.077,2022-03-10T12:03:38.077,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 13 to 17,,,system,system
KPI_Climate_D_UnknownSex_age_18_29,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 18 to 29,,33041,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.077,2022-03-10T12:03:38.077,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 18 to 29,,,system,system
KPI_Climate_D_UnknownSex_age_18_49,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 18 to 49,,33042,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.08,2022-03-10T12:03:38.08,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 18 to 49,,,system,system
KPI_Climate_D_UnknownSex_age_30_39,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 30 to 39,,33043,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.083,2022-03-10T12:03:38.083,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 30 to 39,,,system,system
KPI_Climate_D_UnknownSex_age_40_49,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 40 to 49,,33044,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.083,2022-03-10T12:03:38.083,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 40 to 49,,,system,system
KPI_Climate_D_UnknownSex_age_50_59,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 50 to 59,,33045,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.087,2022-03-10T12:03:38.087,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 50 to 59,,,system,system
KPI_Climate_D_UnknownSex_age_6_12,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 6 to 12,,33039,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.067,2022-03-10T12:03:38.067,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 6 to 12,,,system,system
KPI_Climate_D_UnknownSex_age_60_69,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 60 to 69,,33046,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.07,2022-03-10T12:03:38.07,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 60 to 69,,,system,system
KPI_Climate_D_UnknownSex_age_70_79,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 70 to 79,,33047,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.07,2022-03-10T12:03:38.07,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 70 to 79,,,system,system
KPI_Climate_D_UnknownSex_age_80,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 80+,,33048,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.073,2022-03-10T12:03:38.073,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age 80+,,,system,system
KPI_Climate_D_UnknownSex_age_Other,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age Unknown / Not provided,,33049,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.073,2022-03-10T12:03:38.073,People reached with activities to address rising climate risks - Direct - Gender Unknown / not provided - Age Unknown / Not provided,,,system,system
KPI_Climate_D_Validated,People reached with activities to address rising climate risks - Data validated,,33072,logical,FALSE,FALSE,FALSE,2022-03-10T12:03:38.127,2022-03-10T12:03:38.127,People reached with activities to address rising climate risks - Data validated,,,system,system
KPI_Climate_ddd,Number of people reached - Activities to address rising climate risks -Disaggregated by disability (1) or not (0),,33067,logical,FALSE,FALSE,TRUE,2022-03-10T12:03:38.12,2022-03-10T12:03:38.12,Number of people reached - Activities to address rising climate risks -Disaggregated by disability (1) or not (0),,,system,system
KPI_Climate_I,Number of people reached - Activities to address rising climate risks - Indirect,NS Reach - Indirect,33070,number,FALSE,FALSE,TRUE,2022-03-10T12:03:38.12,0001-01-01T00:00:00,Number of people reached - Activities to address rising climate risks - Indirect,,,system,
